"Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","SlowK","SlowD","OverBot","OverSld"
11/21/2017,22:00,170.78,173.70,170.78,173.14,25131295,0,170.69,169.74,53.01,52.47,80.00,20.00
11/22/2017,22:00,173.36,175.00,173.05,174.96,25588925,0,171.87,170.66,64.27,55.50,80.00,20.00
11/24/2017,22:00,175.10,175.50,174.65,174.97,14026673,0,172.64,171.54,78.82,65.37,80.00,20.00
11/27/2017,22:00,175.05,175.08,173.34,174.09,20716802,0,173.43,172.09,80.07,74.39,80.00,20.00
11/28/2017,22:00,174.30,174.87,171.86,173.07,26428802,0,174.05,172.41,72.05,76.98,80.00,20.00
11/29/2017,22:00,172.63,172.92,167.16,169.48,41666364,0,173.31,172.43,51.58,67.90,80.00,20.00
11/30/2017,22:00,170.43,172.14,168.44,171.85,41527218,0,172.69,172.68,46.54,56.72,80.00,20.00
12/01/2017,22:00,169.95,171.67,168.50,171.05,39759288,0,171.91,172.83,42.54,46.89,80.00,20.00
12/04/2017,22:00,172.48,172.62,169.63,169.80,32542385,0,171.05,172.69,44.84,44.64,80.00,20.00
12/05/2017,22:00,169.27,171.52,168.40,169.64,27350154,0,170.36,172.46,36.01,41.13,80.00,20.00
12/06/2017,22:00,167.50,170.20,166.46,169.01,28560000,0,170.27,172.17,29.82,36.89,80.00,20.00
12/07/2017,22:00,169.03,170.44,168.91,169.32,25673308,0,169.76,171.83,29.86,31.90,80.00,20.00
12/08/2017,22:00,170.49,171.00,168.82,169.37,23355231,0,169.43,171.50,30.68,30.12,80.00,20.00
12/11/2017,22:00,169.20,172.89,168.79,172.67,35273759,0,170.00,171.40,44.17,34.91,80.00,20.00
12/12/2017,22:00,172.15,172.39,171.46,171.70,19409230,0,170.41,171.29,52.95,42.60,80.00,20.00
12/13/2017,22:00,172.50,173.54,172.00,172.27,23818447,0,171.07,171.34,63.64,53.59,80.00,20.00
12/14/2017,22:00,172.40,173.13,171.65,172.22,20476541,0,171.65,171.49,62.96,59.85,80.00,20.00
12/15/2017,22:00,173.47,174.17,172.46,173.97,40169307,0,172.57,171.64,73.19,66.60,80.00,20.00
12/18/2017,22:00,174.88,177.20,174.86,176.42,29421114,0,173.32,171.95,83.65,73.27,80.00,20.00
12/19/2017,22:00,174.68,175.39,174.09,174.54,27436447,0,173.88,172.18,85.48,80.77,80.00,20.00
12/20/2017,22:00,174.87,175.42,173.25,174.35,23475649,0,174.30,172.24,80.48,83.20,80.00,20.00
12/21/2017,22:00,174.17,176.02,174.10,175.01,20949896,0,174.86,172.24,76.10,80.69,80.00,20.00
12/22/2017,22:00,174.68,175.42,174.50,175.01,16349444,0,175.07,172.24,77.56,78.05,80.00,20.00
12/26/2017,22:00,170.80,171.47,169.68,170.57,33185536,0,173.90,172.07,65.83,73.16,80.00,20.00
12/27/2017,22:00,170.10,170.78,169.71,170.60,21498213,0,173.11,171.94,48.41,63.93,80.00,20.00
12/28/2017,22:00,171.00,171.85,170.48,171.08,16480187,0,172.45,172.02,29.79,48.01,80.00,20.00
12/29/2017,22:00,170.52,170.59,169.22,169.23,25999922,0,171.30,171.89,17.99,32.06,80.00,20.00
01/02/2018,22:00,170.16,172.30,169.26,172.26,25555934,0,170.75,171.95,23.27,23.68,80.00,20.00
01/03/2018,22:00,172.53,174.55,171.96,172.23,29517899,0,171.08,172.07,26.63,22.63,80.00,20.00
01/04/2018,22:00,172.54,173.47,172.08,173.03,22434597,0,171.57,172.24,41.19,30.36,80.00,20.00
01/05/2018,22:00,173.44,175.37,173.05,175.00,23660018,0,172.35,172.54,52.63,40.15,80.00,20.00
01/08/2018,22:00,174.35,175.61,173.93,174.35,20567766,0,173.37,172.79,61.49,51.77,80.00,20.00
01/09/2018,22:00,174.55,175.06,173.41,174.33,21583997,0,173.79,173.04,70.39,61.50,80.00,20.00
01/10/2018,22:00,173.16,174.30,173.00,174.29,23959895,0,174.20,173.12,70.95,67.61,80.00,20.00
01/11/2018,22:00,174.59,175.49,174.49,175.28,18667729,0,174.65,173.30,79.61,73.65,80.00,20.00
01/12/2018,22:00,176.18,177.36,175.65,177.09,25418080,0,175.07,173.54,87.40,79.32,80.00,20.00
01/16/2018,22:00,177.90,179.39,176.14,176.19,29565947,0,175.44,173.74,83.23,83.41,80.00,20.00
